ad_id,reporting_start,reporting_end
735048,18/08/2017,18/08/2017
735065,19/08/2017,19/08/2017
735109,19/08/2017,19/08/2017
735140,19/08/2017,19/08/2017
735143,19/08/2017,19/08/2017
735151,19/08/2017,19/08/2017
735184,19/08/2017,19/08/2017
735189,21/08/2017,21/08/2017
735213,21/08/2017,21/08/2017
735220,18/08/2017,18/08/2017
735242,18/08/2017,18/08/2017
735247,18/08/2017,18/08/2017
735289,18/08/2017,18/08/2017
735290,18/08/2017,18/08/2017
735298,18/08/2017,18/08/2017
736869,18/08/2017,18/08/2017
736890,18/08/2017,18/08/2017
736893,18/08/2017,18/08/2017
736977,18/08/2017,18/08/2017
736988,21/08/2017,21/08/2017
736995,21/08/2017,21/08/2017
736997,21/08/2017,21/08/2017
737097,21/08/2017,21/08/2017
737130,21/08/2017,21/08/2017
737320,18/08/2017,18/08/2017
737375,21/08/2017,21/08/2017
737524,21/08/2017,21/08/2017
737644,21/08/2017,21/08/2017
737657,18/08/2017,18/08/2017
737658,18/08/2017,18/08/2017
737674,20/08/2017,20/08/2017
737766,20/08/2017,20/08/2017
737896,20/08/2017,20/08/2017
737931,20/08/2017,20/08/2017
737961,20/08/2017,20/08/2017
737995,20/08/2017,20/08/2017
738006,20/08/2017,20/08/2017
738067,20/08/2017,20/08/2017
738098,20/08/2017,20/08/2017
738307,20/08/2017,20/08/2017
738389,19/08/2017,19/08/2017
738408,19/08/2017,19/08/2017
738413,19/08/2017,19/08/2017
738423,19/08/2017,19/08/2017
738436,19/08/2017,19/08/2017
738463,20/08/2017,20/08/2017
738528,19/08/2017,19/08/2017
738560,19/08/2017,19/08/2017
738582,19/08/2017,19/08/2017
738592,20/08/2017,20/08/2017
738593,20/08/2017,20/08/2017
738598,21/08/2017,21/08/2017
738606,21/08/2017,21/08/2017
738637,21/08/2017,21/08/2017
738648,18/08/2017,18/08/2017
747212,18/08/2017,18/08/2017
747213,18/08/2017,18/08/2017
747220,18/08/2017,18/08/2017
747222,18/08/2017,18/08/2017
747223,18/08/2017,18/08/2017
747248,21/08/2017,21/08/2017
747332,21/08/2017,21/08/2017
747362,21/08/2017,21/08/2017
747369,21/08/2017,21/08/2017
747370,20/08/2017,20/08/2017
747401,21/08/2017,21/08/2017
747435,21/08/2017,21/08/2017
747439,21/08/2017,21/08/2017
747489,21/08/2017,21/08/2017
747514,21/08/2017,21/08/2017
747645,21/08/2017,21/08/2017
747659,25/08/2017,25/08/2017
747675,25/08/2017,25/08/2017
747678,25/08/2017,25/08/2017
747712,24/08/2017,24/08/2017
747790,24/08/2017,24/08/2017
747791,25/08/2017,25/08/2017
747795,25/08/2017,25/08/2017
747798,25/08/2017,25/08/2017
747824,25/08/2017,25/08/2017
747828,25/08/2017,25/08/2017
747852,24/08/2017,24/08/2017
747859,24/08/2017,24/08/2017
747863,24/08/2017,24/08/2017
747879,24/08/2017,24/08/2017
747903,24/08/2017,24/08/2017
747911,24/08/2017,24/08/2017
747968,24/08/2017,24/08/2017
747991,24/08/2017,24/08/2017
748000,24/08/2017,24/08/2017
748007,24/08/2017,24/08/2017
748014,24/08/2017,24/08/2017
748045,25/08/2017,25/08/2017
748086,25/08/2017,25/08/2017
748087,26/08/2017,26/08/2017
748089,26/08/2017,26/08/2017
748091,26/08/2017,26/08/2017
748225,26/08/2017,26/08/2017
748230,26/08/2017,26/08/2017
748231,27/08/2017,27/08/2017
748233,27/08/2017,27/08/2017
748235,26/08/2017,26/08/2017
748294,26/08/2017,26/08/2017
748295,26/08/2017,26/08/2017
748303,25/08/2017,25/08/2017
748314,25/08/2017,25/08/2017
748341,25/08/2017,25/08/2017
776318,25/08/2017,25/08/2017
776322,25/08/2017,25/08/2017
776323,26/08/2017,26/08/2017
776325,26/08/2017,26/08/2017
776334,26/08/2017,26/08/2017
776336,26/08/2017,26/08/2017
776338,23/08/2017,23/08/2017
776353,23/08/2017,23/08/2017
776373,21/08/2017,21/08/2017
776383,21/08/2017,21/08/2017
776405,21/08/2017,21/08/2017
776416,21/08/2017,21/08/2017
776430,22/08/2017,22/08/2017
776464,22/08/2017,22/08/2017
776469,22/08/2017,22/08/2017
776473,22/08/2017,22/08/2017
776475,21/08/2017,21/08/2017
776476,21/08/2017,21/08/2017
776477,21/08/2017,21/08/2017
776489,21/08/2017,21/08/2017
776494,21/08/2017,21/08/2017
776515,21/08/2017,21/08/2017
776519,21/08/2017,21/08/2017
776533,21/08/2017,21/08/2017
776534,21/08/2017,21/08/2017
776538,21/08/2017,21/08/2017
776551,21/08/2017,21/08/2017
776552,22/08/2017,22/08/2017
776553,22/08/2017,22/08/2017
776563,23/08/2017,23/08/2017
776579,23/08/2017,23/08/2017
776603,23/08/2017,23/08/2017
776615,23/08/2017,23/08/2017
776623,23/08/2017,23/08/2017
776631,23/08/2017,23/08/2017
776643,23/08/2017,23/08/2017
776644,23/08/2017,23/08/2017
776659,23/08/2017,23/08/2017
776661,23/08/2017,23/08/2017
776662,22/08/2017,22/08/2017
776663,22/08/2017,22/08/2017
776668,22/08/2017,22/08/2017
776685,22/08/2017,22/08/2017
776686,22/08/2017,22/08/2017
776687,23/08/2017,23/08/2017
776696,22/08/2017,22/08/2017
776697,22/08/2017,22/08/2017
776698,22/08/2017,22/08/2017
776699,27/08/2017,27/08/2017
776722,27/08/2017,27/08/2017
776725,22/08/2017,22/08/2017
776780,22/08/2017,22/08/2017
776793,22/08/2017,22/08/2017
776799,22/08/2017,22/08/2017
776817,22/08/2017,22/08/2017
776825,23/08/2017,23/08/2017
776829,23/08/2017,23/08/2017
776831,22/08/2017,22/08/2017
776840,22/08/2017,22/08/2017
776861,22/08/2017,22/08/2017
776892,30/08/2017,30/08/2017
776928,30/08/2017,30/08/2017
776935,30/08/2017,30/08/2017
777105,30/08/2017,30/08/2017
777130,30/08/2017,30/08/2017
777131,22/08/2017,22/08/2017
777166,30/08/2017,30/08/2017
777187,30/08/2017,30/08/2017
777198,30/08/2017,30/08/2017
777200,23/08/2017,23/08/2017
777201,23/08/2017,23/08/2017
777235,24/08/2017,24/08/2017
777248,24/08/2017,24/08/2017
777261,24/08/2017,24/08/2017
777382,25/08/2017,25/08/2017
777398,25/08/2017,25/08/2017
777410,25/08/2017,25/08/2017
777482,25/08/2017,25/08/2017
777495,25/08/2017,25/08/2017
777519,24/08/2017,24/08/2017
777625,24/08/2017,24/08/2017
777627,23/08/2017,23/08/2017
777638,23/08/2017,23/08/2017
777670,23/08/2017,23/08/2017
777673,23/08/2017,23/08/2017
777742,23/08/2017,23/08/2017
777758,24/08/2017,24/08/2017
777794,24/08/2017,24/08/2017
777816,23/08/2017,23/08/2017
777871,23/08/2017,23/08/2017
777904,30/08/2017,30/08/2017
777905,30/08/2017,30/08/2017
778037,28/08/2017,28/08/2017
778048,28/08/2017,28/08/2017
778085,28/08/2017,28/08/2017
778087,28/08/2017,28/08/2017
778112,28/08/2017,28/08/2017
778113,28/08/2017,28/08/2017
778124,28/08/2017,28/08/2017
778148,28/08/2017,28/08/2017
778156,28/08/2017,28/08/2017
778161,27/08/2017,27/08/2017
778208,27/08/2017,27/08/2017
778264,27/08/2017,27/08/2017
778266,27/08/2017,27/08/2017
778421,27/08/2017,27/08/2017
778422,27/08/2017,27/08/2017
778461,27/08/2017,27/08/2017
778471,27/08/2017,27/08/2017
778483,27/08/2017,27/08/2017
778529,27/08/2017,27/08/2017
778556,28/08/2017,28/08/2017
778590,28/08/2017,28/08/2017
778600,29/08/2017,29/08/2017
778626,29/08/2017,29/08/2017
778628,29/08/2017,29/08/2017
778674,29/08/2017,29/08/2017
778689,30/08/2017,30/08/2017
778722,30/08/2017,30/08/2017
778737,30/08/2017,30/08/2017
778756,30/08/2017,30/08/2017
778804,30/08/2017,30/08/2017
778808,29/08/2017,29/08/2017
778964,29/08/2017,29/08/2017
779057,29/08/2017,29/08/2017
779106,28/08/2017,28/08/2017
779438,28/08/2017,28/08/2017
779453,29/08/2017,29/08/2017
779488,29/08/2017,29/08/2017
779573,29/08/2017,29/08/2017
779608,29/08/2017,29/08/2017
779609,29/08/2017,29/08/2017
779622,29/08/2017,29/08/2017
779631,19/08/2017,19/08/2017
779644,19/08/2017,19/08/2017
779645,22/08/2017,22/08/2017
779715,22/08/2017,22/08/2017
779716,22/08/2017,22/08/2017
779738,22/08/2017,22/08/2017
779778,22/08/2017,22/08/2017
779789,22/08/2017,22/08/2017
779824,22/08/2017,22/08/2017
779871,22/08/2017,22/08/2017
779918,22/08/2017,22/08/2017
779922,22/08/2017,22/08/2017
779944,21/08/2017,21/08/2017
779979,21/08/2017,21/08/2017
779995,21/08/2017,21/08/2017
780064,21/08/2017,21/08/2017
780104,21/08/2017,21/08/2017
780199,22/08/2017,22/08/2017
780318,22/08/2017,22/08/2017
780323,21/08/2017,21/08/2017
780486,21/08/2017,21/08/2017
780498,22/08/2017,22/08/2017
780511,23/08/2017,23/08/2017
780629,24/08/2017,24/08/2017
780653,24/08/2017,24/08/2017
780655,24/08/2017,24/08/2017
780666,24/08/2017,24/08/2017
780681,24/08/2017,24/08/2017
780700,18/08/2017,18/08/2017
780748,18/08/2017,18/08/2017
780759,18/08/2017,18/08/2017
780760,24/08/2017,24/08/2017
780797,24/08/2017,24/08/2017
780799,23/08/2017,23/08/2017
780821,23/08/2017,23/08/2017
780830,23/08/2017,23/08/2017
780835,23/08/2017,23/08/2017
780867,23/08/2017,23/08/2017
780974,23/08/2017,23/08/2017
781066,23/08/2017,23/08/2017
781114,23/08/2017,23/08/2017
781159,23/08/2017,23/08/2017
781162,21/08/2017,21/08/2017
781175,21/08/2017,21/08/2017
781187,18/08/2017,18/08/2017
781195,18/08/2017,18/08/2017
781207,18/08/2017,18/08/2017
781303,19/08/2017,19/08/2017
781305,19/08/2017,19/08/2017
781327,19/08/2017,19/08/2017
781353,19/08/2017,19/08/2017
781354,19/08/2017,19/08/2017
781438,18/08/2017,18/08/2017
781470,18/08/2017,18/08/2017
781499,18/08/2017,18/08/2017
781508,24/08/2017,24/08/2017
781556,24/08/2017,24/08/2017
781559,18/08/2017,18/08/2017
781606,18/08/2017,18/08/2017
781690,18/08/2017,18/08/2017
781811,18/08/2017,18/08/2017
781857,18/08/2017,18/08/2017
781858,18/08/2017,18/08/2017
781907,19/08/2017,19/08/2017
781928,19/08/2017,19/08/2017
781929,20/08/2017,20/08/2017
781950,20/08/2017,20/08/2017
781999,20/08/2017,20/08/2017
782001,20/08/2017,20/08/2017
782022,20/08/2017,20/08/2017
782026,21/08/2017,21/08/2017
782130,21/08/2017,21/08/2017
782134,21/08/2017,21/08/2017
782135,20/08/2017,20/08/2017
782171,20/08/2017,20/08/2017
782180,19/08/2017,19/08/2017
782219,19/08/2017,19/08/2017
782228,19/08/2017,19/08/2017
782242,19/08/2017,19/08/2017
782275,19/08/2017,19/08/2017
782337,20/08/2017,20/08/2017
782407,20/08/2017,20/08/2017
782443,20/08/2017,20/08/2017
782541,20/08/2017,20/08/2017
782587,18/08/2017,18/08/2017
782647,18/08/2017,18/08/2017
782658,23/08/2017,23/08/2017
782694,23/08/2017,23/08/2017
782706,23/08/2017,23/08/2017
782754,23/08/2017,23/08/2017
782815,23/08/2017,23/08/2017
782816,23/08/2017,23/08/2017
782862,23/08/2017,23/08/2017
950068,23/08/2017,23/08/2017
950078,22/08/2017,22/08/2017
950079,22/08/2017,22/08/2017
950099,22/08/2017,22/08/2017
950109,22/08/2017,22/08/2017
950170,22/08/2017,22/08/2017
950179,22/08/2017,22/08/2017
950182,22/08/2017,22/08/2017
950183,22/08/2017,22/08/2017
950200,22/08/2017,22/08/2017
950224,22/08/2017,22/08/2017
950326,22/08/2017,22/08/2017
950345,23/08/2017,23/08/2017
950452,23/08/2017,23/08/2017
950463,19/08/2017,19/08/2017
950495,19/08/2017,19/08/2017
950521,18/08/2017,18/08/2017
950531,19/08/2017,19/08/2017
950537,19/08/2017,19/08/2017
950550,19/08/2017,19/08/2017
950577,19/08/2017,19/08/2017
950578,19/08/2017,19/08/2017
950595,18/08/2017,18/08/2017
950609,18/08/2017,18/08/2017
950629,23/08/2017,23/08/2017
950631,23/08/2017,23/08/2017
950649,23/08/2017,23/08/2017
950745,18/08/2017,18/08/2017
950770,18/08/2017,18/08/2017
950772,18/08/2017,18/08/2017
950773,18/08/2017,18/08/2017
950776,18/08/2017,18/08/2017
950787,18/08/2017,18/08/2017
950808,22/08/2017,22/08/2017
950839,22/08/2017,22/08/2017
950878,19/08/2017,19/08/2017
950969,19/08/2017,19/08/2017
951021,19/08/2017,19/08/2017
951033,19/08/2017,19/08/2017
951035,19/08/2017,19/08/2017
951043,19/08/2017,19/08/2017
951045,19/08/2017,19/08/2017
951046,19/08/2017,19/08/2017
951102,19/08/2017,19/08/2017
951105,19/08/2017,19/08/2017
951133,18/08/2017,18/08/2017
951202,18/08/2017,18/08/2017
951225,18/08/2017,18/08/2017
951270,18/08/2017,18/08/2017
951282,18/08/2017,18/08/2017
951285,19/08/2017,19/08/2017
951294,19/08/2017,19/08/2017
951305,19/08/2017,19/08/2017
951334,18/08/2017,18/08/2017
951391,19/08/2017,19/08/2017
951392,20/08/2017,20/08/2017
951400,21/08/2017,21/08/2017
951402,21/08/2017,21/08/2017
951413,21/08/2017,21/08/2017
951420,21/08/2017,21/08/2017
951444,21/08/2017,21/08/2017
951448,22/08/2017,22/08/2017
951462,21/08/2017,21/08/2017
951464,21/08/2017,21/08/2017
951465,21/08/2017,21/08/2017
951498,21/08/2017,21/08/2017
951508,21/08/2017,21/08/2017
951542,20/08/2017,20/08/2017
951607,20/08/2017,20/08/2017
951608,20/08/2017,20/08/2017
951641,20/08/2017,20/08/2017
951677,20/08/2017,20/08/2017
951692,21/08/2017,21/08/2017
951715,20/08/2017,20/08/2017
951756,20/08/2017,20/08/2017
951779,20/08/2017,20/08/2017
951782,24/08/2017,24/08/2017
951810,24/08/2017,24/08/2017
951812,29/08/2017,29/08/2017
951837,29/08/2017,29/08/2017
951853,29/08/2017,29/08/2017
951854,25/08/2017,25/08/2017
951856,25/08/2017,25/08/2017
951941,25/08/2017,25/08/2017
952001,25/08/2017,25/08/2017
952031,25/08/2017,25/08/2017
952080,29/08/2017,29/08/2017
952100,29/08/2017,29/08/2017
1121091,28/08/2017,28/08/2017
1121092,28/08/2017,28/08/2017
1121094,28/08/2017,28/08/2017
1121095,28/08/2017,28/08/2017
1121096,28/08/2017,28/08/2017
1121097,29/08/2017,29/08/2017
1121098,29/08/2017,29/08/2017
1121100,29/08/2017,29/08/2017
1121101,28/08/2017,28/08/2017
1121102,25/08/2017,25/08/2017
1121104,25/08/2017,25/08/2017
1121105,26/08/2017,26/08/2017
1121107,26/08/2017,26/08/2017
1121108,26/08/2017,26/08/2017
1121110,26/08/2017,26/08/2017
1121111,26/08/2017,26/08/2017
1121113,27/08/2017,27/08/2017
1121114,27/08/2017,27/08/2017
1121115,26/08/2017,26/08/2017
1121116,26/08/2017,26/08/2017
1121117,26/08/2017,26/08/2017
1121119,25/08/2017,25/08/2017
1121121,25/08/2017,25/08/2017
1121122,25/08/2017,25/08/2017
1121123,25/08/2017,25/08/2017
1121124,26/08/2017,26/08/2017
1121125,26/08/2017,26/08/2017
1121126,26/08/2017,26/08/2017
1121127,26/08/2017,26/08/2017
1121128,26/08/2017,26/08/2017
1121129,28/08/2017,28/08/2017
1121131,28/08/2017,28/08/2017
1121132,21/08/2017,21/08/2017
1121133,21/08/2017,21/08/2017
1121134,21/08/2017,21/08/2017
1121136,21/08/2017,21/08/2017
1121138,21/08/2017,21/08/2017
1121141,21/08/2017,21/08/2017
1121142,21/08/2017,21/08/2017
1121143,21/08/2017,21/08/2017
1121152,20/08/2017,20/08/2017
1121153,20/08/2017,20/08/2017
1121164,19/08/2017,19/08/2017
1121167,19/08/2017,19/08/2017
1121168,19/08/2017,19/08/2017
1121172,20/08/2017,20/08/2017
1121173,20/08/2017,20/08/2017
1121175,20/08/2017,20/08/2017
1121177,20/08/2017,20/08/2017
1121181,20/08/2017,20/08/2017
1121182,20/08/2017,20/08/2017
1121183,21/08/2017,21/08/2017
1121184,22/08/2017,22/08/2017
1121185,23/08/2017,23/08/2017
1121193,23/08/2017,23/08/2017
1121195,23/08/2017,23/08/2017
1121196,23/08/2017,23/08/2017
1121197,23/08/2017,23/08/2017
1121202,28/08/2017,28/08/2017
1121203,23/08/2017,23/08/2017
1121205,23/08/2017,23/08/2017
1121206,23/08/2017,23/08/2017
1121207,23/08/2017,23/08/2017
1121211,23/08/2017,23/08/2017
1121213,22/08/2017,22/08/2017
1121215,22/08/2017,22/08/2017
1121216,22/08/2017,22/08/2017
1121220,22/08/2017,22/08/2017
1121223,22/08/2017,22/08/2017
1121224,23/08/2017,23/08/2017
1121229,22/08/2017,22/08/2017
1121231,22/08/2017,22/08/2017
1121233,22/08/2017,22/08/2017
1121241,27/08/2017,27/08/2017
1121242,27/08/2017,27/08/2017
1121243,22/08/2017,22/08/2017
1121244,22/08/2017,22/08/2017
1121245,22/08/2017,22/08/2017
1121246,22/08/2017,22/08/2017
1121250,22/08/2017,22/08/2017
1121251,23/08/2017,23/08/2017
1121252,23/08/2017,23/08/2017
1121254,22/08/2017,22/08/2017
1121255,22/08/2017,22/08/2017
1121261,22/08/2017,22/08/2017
1121262,30/08/2017,30/08/2017
1121263,30/08/2017,30/08/2017
1121264,30/08/2017,30/08/2017
1121265,22/08/2017,22/08/2017
1121269,22/08/2017,22/08/2017
1121273,22/08/2017,22/08/2017
1121274,22/08/2017,22/08/2017
1121275,22/08/2017,22/08/2017
1121276,22/08/2017,22/08/2017
1121277,23/08/2017,23/08/2017
1121278,23/08/2017,23/08/2017
1121279,24/08/2017,24/08/2017
1121282,24/08/2017,24/08/2017
1121284,24/08/2017,24/08/2017
1121285,24/08/2017,24/08/2017
1121286,24/08/2017,24/08/2017
1121287,24/08/2017,24/08/2017
1121289,24/08/2017,24/08/2017
1121290,24/08/2017,24/08/2017
1121291,24/08/2017,24/08/2017
1121292,23/08/2017,23/08/2017
1121293,23/08/2017,23/08/2017
1121296,23/08/2017,23/08/2017
1121297,23/08/2017,23/08/2017
1121300,23/08/2017,23/08/2017
1121302,23/08/2017,23/08/2017
1121303,23/08/2017,23/08/2017
1121304,23/08/2017,23/08/2017
1121309,23/08/2017,23/08/2017
1121310,23/08/2017,23/08/2017
1121311,30/08/2017,30/08/2017
1121312,30/08/2017,30/08/2017
1121316,28/08/2017,28/08/2017
1121317,28/08/2017,28/08/2017
1121319,28/08/2017,28/08/2017
1121321,28/08/2017,28/08/2017
1121322,28/08/2017,28/08/2017
1121327,28/08/2017,28/08/2017
1121330,28/08/2017,28/08/2017
1121333,28/08/2017,28/08/2017
1121334,28/08/2017,28/08/2017
1121335,28/08/2017,28/08/2017
1121336,27/08/2017,27/08/2017
1121337,27/08/2017,27/08/2017
1121338,27/08/2017,27/08/2017
1121340,27/08/2017,27/08/2017
1121341,27/08/2017,27/08/2017
1121342,28/08/2017,28/08/2017
1121344,28/08/2017,28/08/2017
1121345,27/08/2017,27/08/2017
1121347,27/08/2017,27/08/2017
1121350,29/08/2017,29/08/2017
1121352,29/08/2017,29/08/2017
1121353,30/08/2017,30/08/2017
1121355,29/08/2017,29/08/2017
1121359,29/08/2017,29/08/2017
1121361,30/08/2017,30/08/2017
1121364,30/08/2017,30/08/2017
1121365,30/08/2017,30/08/2017
1121367,30/08/2017,30/08/2017
1121368,30/08/2017,30/08/2017
1121369,30/08/2017,30/08/2017
1121370,29/08/2017,29/08/2017
1121372,29/08/2017,29/08/2017
1121373,29/08/2017,29/08/2017
1121374,29/08/2017,29/08/2017
1121375,29/08/2017,29/08/2017
1121377,29/08/2017,29/08/2017
1121378,29/08/2017,29/08/2017
1121379,29/08/2017,29/08/2017
1121380,29/08/2017,29/08/2017
1121381,29/08/2017,29/08/2017
1121390,29/08/2017,29/08/2017
1121391,20/08/2017,20/08/2017
1121394,20/08/2017,20/08/2017
1121395,23/08/2017,23/08/2017
1121398,23/08/2017,23/08/2017
1121400,23/08/2017,23/08/2017
1121403,24/08/2017,24/08/2017
1121405,24/08/2017,24/08/2017
1121410,24/08/2017,24/08/2017
1121411,24/08/2017,24/08/2017
1121412,24/08/2017,24/08/2017
1121413,23/08/2017,23/08/2017
1121414,23/08/2017,23/08/2017
1121415,23/08/2017,23/08/2017
1121418,23/08/2017,23/08/2017
1121421,21/08/2017,21/08/2017
1121422,23/08/2017,23/08/2017
1121423,23/08/2017,23/08/2017
1121425,23/08/2017,23/08/2017
1121428,23/08/2017,23/08/2017
1121429,23/08/2017,23/08/2017
1121430,23/08/2017,23/08/2017
1121433,24/08/2017,24/08/2017
1121437,24/08/2017,24/08/2017
1121439,25/08/2017,25/08/2017
1121440,25/08/2017,25/08/2017
1121442,25/08/2017,25/08/2017
1121443,25/08/2017,25/08/2017
1121444,25/08/2017,25/08/2017
1121446,25/08/2017,25/08/2017
1121451,25/08/2017,25/08/2017
1121452,25/08/2017,25/08/2017
1121453,25/08/2017,25/08/2017
1121454,25/08/2017,25/08/2017
1121455,24/08/2017,24/08/2017
1121456,24/08/2017,24/08/2017
1121464,24/08/2017,24/08/2017
1121466,24/08/2017,24/08/2017
1121467,24/08/2017,24/08/2017
1121469,25/08/2017,25/08/2017
1121471,24/08/2017,24/08/2017
1121472,24/08/2017,24/08/2017
1121473,24/08/2017,24/08/2017
1121474,21/08/2017,21/08/2017
1121477,21/08/2017,21/08/2017
1121481,19/08/2017,19/08/2017
1121482,19/08/2017,19/08/2017
1121483,19/08/2017,19/08/2017
1121484,19/08/2017,19/08/2017
1121487,19/08/2017,19/08/2017
1121489,19/08/2017,19/08/2017
1121493,19/08/2017,19/08/2017
1121497,19/08/2017,19/08/2017
1121499,19/08/2017,19/08/2017
1121510,19/08/2017,19/08/2017
1121511,18/08/2017,18/08/2017
1121514,18/08/2017,18/08/2017
1121523,18/08/2017,18/08/2017
1121524,18/08/2017,18/08/2017
1121525,18/08/2017,18/08/2017
1121526,19/08/2017,19/08/2017
1121527,19/08/2017,19/08/2017
1121528,19/08/2017,19/08/2017
1121530,19/08/2017,19/08/2017
1121532,19/08/2017,19/08/2017
1121535,20/08/2017,20/08/2017
1121541,21/08/2017,21/08/2017
1121544,21/08/2017,21/08/2017
1121545,20/08/2017,20/08/2017
1121548,21/08/2017,21/08/2017
1121551,21/08/2017,21/08/2017
1121554,21/08/2017,21/08/2017
1121557,21/08/2017,21/08/2017
1121561,21/08/2017,21/08/2017
1121562,20/08/2017,20/08/2017
1121568,20/08/2017,20/08/2017
1121571,20/08/2017,20/08/2017
1121572,20/08/2017,20/08/2017
1121575,20/08/2017,20/08/2017
1121577,20/08/2017,20/08/2017
1121584,20/08/2017,20/08/2017
1121585,20/08/2017,20/08/2017
1121589,20/08/2017,20/08/2017
1121590,20/08/2017,20/08/2017
1121592,20/08/2017,20/08/2017
1121593,26/08/2017,26/08/2017
1121594,26/08/2017,26/08/2017
1121597,30/08/2017,30/08/2017
1121598,30/08/2017,30/08/2017
1121599,30/08/2017,30/08/2017
1121601,30/08/2017,30/08/2017
1121602,30/08/2017,30/08/2017
1121603,30/08/2017,30/08/2017
1121605,30/08/2017,30/08/2017
1121606,30/08/2017,30/08/2017
1121607,30/08/2017,30/08/2017
1121609,30/08/2017,30/08/2017
1121612,29/08/2017,29/08/2017
1121613,29/08/2017,29/08/2017
1121615,29/08/2017,29/08/2017
1121616,29/08/2017,29/08/2017
1121617,29/08/2017,29/08/2017
1121619,30/08/2017,30/08/2017
1121620,30/08/2017,30/08/2017
1121622,30/08/2017,30/08/2017
1121623,29/08/2017,29/08/2017
1121624,30/08/2017,30/08/2017
1121627,30/08/2017,30/08/2017
1121628,19/08/2017,19/08/2017
1121629,19/08/2017,19/08/2017
1121635,19/08/2017,19/08/2017
1121638,19/08/2017,19/08/2017
1121641,19/08/2017,19/08/2017
1121642,19/08/2017,19/08/2017
1121644,19/08/2017,19/08/2017
1121650,19/08/2017,19/08/2017
1121652,18/08/2017,18/08/2017
1121660,18/08/2017,18/08/2017
1121661,18/08/2017,18/08/2017
1121662,18/08/2017,18/08/2017
1121664,18/08/2017,18/08/2017
1121665,18/08/2017,18/08/2017
1121666,18/08/2017,18/08/2017
1121667,18/08/2017,18/08/2017
1121668,18/08/2017,18/08/2017
1121669,18/08/2017,18/08/2017
1121671,18/08/2017,18/08/2017
1121672,29/08/2017,29/08/2017
1121673,29/08/2017,29/08/2017
